Institute Name,Branch Name,Category,Gender,Closing Rank,Tuition Fee,Affiliated To
AAR MAHAVEER ENGINEERING COLLEGE,COMPUTER SCIENCE AND ENGINEERING,OC,BOYS,29416,60000,JNTUH
AAR MAHAVEER ENGINEERING COLLEGE,COMPUTER SCIENCE AND ENGINEERING (ARTIFICIAL INTELLIGENCE AND MACHINE LEARNING),OC,BOYS,43328,60000,JNTUH
AAR MAHAVEER ENGINEERING COLLEGE,ELECTRONICS AND COMMUNICATION  ENGINEERING,OC,BOYS,67715,60000,JNTUH
AAR MAHAVEER ENGINEERING COLLEGE,ELECTRICAL AND ELECTRONICS ENGINEERING,OC,BOYS,125983,60000,JNTUH
AAR MAHAVEER ENGINEERING COLLEGE,MECHANICAL ENGINEERING,OC,BOYS,126350,60000,JNTUH
A C E ENGINEERING COLLEGE (AUTONOMOUS),ARTIFICIAL INTELLIGENCE AND DATA SCIENCE,OC,BOYS,46075,110000,JNTUH
A C E ENGINEERING COLLEGE (AUTONOMOUS),ARTIFICIAL INTELLIGENCE AND MACHINE LEARNING,OC,BOYS,48624,110000,JNTUH
A C E ENGINEERING COLLEGE (AUTONOMOUS),CIVIL ENGINEERING,OC,BOYS,156840,110000,JNTUH
A C E ENGINEERING COLLEGE (AUTONOMOUS),COMPUTER SCIENCE AND ENGINEERING (DATA SCIENCE),OC,BOYS,45535,110000,JNTUH
A C E ENGINEERING COLLEGE (AUTONOMOUS),COMPUTER SCIENCE AND ENGINEERING,OC,BOYS,28483,110000,JNTUH
A C E ENGINEERING COLLEGE (AUTONOMOUS),COMPUTER SCIENCE AND ENGINEERING (ARTIFICIAL INTELLIGENCE AND MACHINE LEARNING),OC,BOYS,40545,110000,JNTUH
A C E ENGINEERING COLLEGE (AUTONOMOUS),COMPUTER SCIENCE AND ENGINEERING (IOT),OC,BOYS,46740,110000,JNTUH
A C E ENGINEERING COLLEGE (AUTONOMOUS),ELECTRONICS AND COMMUNICATION  ENGINEERING,OC,BOYS,55425,110000,JNTUH
A C E ENGINEERING COLLEGE (AUTONOMOUS),ELECTRICAL AND ELECTRONICS ENGINEERING,OC,BOYS,156840,110000,JNTUH
A C E ENGINEERING COLLEGE (AUTONOMOUS),INFORMATION  TECHNOLOGY,OC,BOYS,44639,110000,JNTUH
A C E ENGINEERING COLLEGE (AUTONOMOUS),MECHANICAL ENGINEERING,OC,BOYS,76458,110000,JNTUH
ANNAMACHARYA INST OF TECHNOLOGY AND SCI,CIVIL ENGINEERING,OC,BOYS,108111,75000,JNTUH
ANNAMACHARYA INST OF TECHNOLOGY AND SCI,COMPUTER SCIENCE AND ENGINEERING (DATA SCIENCE),OC,BOYS,126006,75000,JNTUH
ANNAMACHARYA INST OF TECHNOLOGY AND SCI,COMPUTER SCIENCE AND ENGINEERING,OC,BOYS,56089,75000,JNTUH
ANNAMACHARYA INST OF TECHNOLOGY AND SCI,COMPUTER SCIENCE AND ENGINEERING (ARTIFICIAL INTELLIGENCE AND MACHINE LEARNING),OC,BOYS,64071,75000,JNTUH
ANNAMACHARYA INST OF TECHNOLOGY AND SCI,ELECTRONICS AND COMMUNICATION ENGINEERING,OC,BOYS,128502,75000,JNTUH
ANNAMACHARYA INST OF TECHNOLOGY AND SCI,ELECTRICAL AND ELECTRONICS ENGINEERING,OC,BOYS,100456,75000,JNTUH
ANNAMACHARYA INST OF TECHNOLOGY AND SCI,MECHANICAL ENGINEERING,OC,BOYS,136923,75000,JNTUH
ABDULKALAM INST OF TECHNOLOGY AND SCI,ARTIFICIAL INTELLIGENCE AND MACHINE LEARNING,OC,BOYS,92380,65000,JNTUH
ABDULKALAM INST OF TECHNOLOGY AND SCI,CIVIL ENGINEERING,OC,BOYS,95175,65000,JNTUH
ABDULKALAM INST OF TECHNOLOGY AND SCI,COMPUTER SCIENCE AND ENGINEERING,OC,BOYS,67490,65000,JNTUH
Institute Name,Branch Name,OC,BOYS,OC BOYS,Tuition Fee,"TS
Affiliated To"
ABDULKALAM INST OF TECHNOLOGY AND SCI,ELECTRONICS AND COMMUNICATION  ENGINEERING,OC,BOYS,85763,65000,JNTUH
ABDULKALAM INST OF TECHNOLOGY AND SCI,ELECTRICAL AND ELECTRONICS ENGINEERING,OC,BOYS,135003,65000,JNTUH
ABDULKALAM INST OF TECHNOLOGY AND SCI,MECHANICAL ENGINEERING,OC,BOYS,156840,65000,JNTUH
ABDULKALAM INST OF TECHNOLOGY AND SCI,MINING ENGINEERING,OC,BOYS,111932,65000,JNTUH
ANURAG ENGINEERING COLLEGE AUTONOMOUS,CIVIL ENGINEERING,OC,BOYS,100565,90000,JNTUH
ANURAG ENGINEERING COLLEGE AUTONOMOUS,COMPUTER SCIENCE AND ENGINEERING,OC,BOYS,43794,90000,JNTUH
ANURAG ENGINEERING COLLEGE AUTONOMOUS,COMPUTER SCIENCE AND ENGINEERING (ARTIFICIAL INTELLIGENCE AND MACHINE LEARNING),OC,BOYS,53765,90000,JNTUH
ANURAG ENGINEERING COLLEGE AUTONOMOUS,ELECTRONICS AND COMMUNICATION  ENGINEERING,OC,BOYS,97248,90000,JNTUH
ANURAG ENGINEERING COLLEGE AUTONOMOUS,ELECTRICAL AND ELECTRONICS ENGINEERING,OC,BOYS,156840,90000,JNTUH
ANURAG ENGINEERING COLLEGE AUTONOMOUS,INFORMATION  TECHNOLOGY,OC,BOYS,43715,90000,JNTUH
